,Phrase1,Phrase2
0,Nikola Tesla.md,"The Inventions, Researches, and Writings of Nikola Tesla.md"
1,Thermal Recovery.md,Chapter 12 Evaluation of Reservoirs for Thermal Recovery.md
2,ions.md,Chapter 14 Other Applications.md
3,Thermal Recovery.md,Chapter 15 Status and Potential of Thermal Recovery.md
4,rain.md,Welcome To Your Brain.md
5,ions.md,semantic atlas of human emotions.md
6,cat.md,Hashcat.md
7,character.md,pipe character.md
8,Africa.md,Central Africa.md
9,Oklahoma.md,northeastern Oklahoma.md
10,Oklahoma.md,"Picher, Oklahoma.md"
11,United States.md,the United States.md
12,Africa.md,west Africa.md
13,Australia.md,"Wittenoom, Western Australia.md"
14,Experiment.md,Animation of the Meselson and Stahl Experiment.md
15,Gregor Mendel.md,Experiments in Plant Hybridization - Gregor Mendel.md
16,ls.md,How Geckos Stick on der waals.md
17,Fungi.md,"Bacteria & Protists, Fungi.md"
18,Anatomy.md,Mammalian Anatomy.md
19,sciences.md,fundamental sciences.md
20,science.md,applied science.md
21,sciences.md,applied sciences.md
22,moments.md,bending moments.md
23,engineering.md,civil engineering.md
24,medium.md,intervening medium.md
25,ions.md,Method of Sections.md
26,Trusses.md,Planar Trusses.md
27,energy.md,radiant energy.md
28,spectrum.md,visible-light spectrum.md
29,Thermodynamics.md,1st Law of Thermodynamics.md
30,dynamics.md,1st Law of Thermodynamics.md
31,Thermodynamics.md,2nd Law of Thermodynamics.md
32,dynamics.md,2nd Law of Thermodynamics.md
33,sciences.md,basic sciences.md
34,science.md,formal science.md
35,science.md,Information science.md
36,logic.md,deductive logic.md
37,logic.md,inductive logic.md
38,physics.md,Pataphysics.md
39,geometry.md,differential geometry.md
40,geometry.md,Euclidean geometry.md
41,frequency.md,spatial frequency.md
42,evolution.md,temporal evolution.md
43,computer science.md,Theoretical computer science.md
44,science.md,Theoretical computer science.md
45,science.md,life science.md
46,paleontology.md,Micropaleontology.md
47,anthropology.md,Paleoanthropology.md
48,ions.md,Abbreviations.md
49,Nerve Fibers.md,Afferent Nerve Fibers.md
50,immune response.md,anti cancer immune response.md
51,chemistry.md,Biochemistry.md
52,organs.md,CentiMorgans.md
53,DNA.md,Complementary DNA.md
54,carbohydrates.md,Complex carbohydrates.md
55,ions.md,Conclusions.md
56,analysis.md,DNA analysis.md
57,DNA.md,Double-Stranded DNA.md
58,RNA.md,Double-Stranded RNA.md
59,rm.md,ectoderm.md
60,rm.md,endoderm.md
61,pathogens.md,foreign pathogens.md
62,DNA.md,Genomic DNA.md
63,rain.md,grain.md
64,Frames.md,HIV Reading Frames.md
65,taxonomy.md,Linnaean taxonomy.md
66,RNA.md,Long Intergenic Non-Coding RNA.md
67,RNA.md,Long Non-Coding RNA.md
68,aging.md,massaging.md
69,rm.md,mesoderm.md
70,RNA.md,Messenger RNA.md
71,isos.md,Metisos.md
72,virus.md,micro virus.md
73,Ecology.md,Module 10; Ecology.md
74,Notes.md,Module 1; Process of Science Notes.md
75,Lipids.md,Module 4; Lipids.md
76,Metabolism.md,Module 5; Metabolism.md
77,Genetics.md,Module 8; Genetics.md
78,Biology.md,Molecular Biology.md
79,Biology.md,Molecular Biology.md
80,proteins.md,mutant proteins.md
81,Cell.md,Nerve Cell.md
82,Polar Bond.md,Non-Polar Bond.md
83,ions.md,Observations.md
84,Electronegativity.md,Pauling Electronegativity.md
85,Nervous System.md,Peripheral Nervous System.md
86,genetic.md,Phylogenetic.md
87,reaction.md,Polymerase chain reaction.md
88,energy.md,Potential energy.md
89,DNA.md,Recombinant DNA.md
90,RNA.md,Ribosomal RNA.md
91,gorillas.md,silverback gorillas.md
92,DNA.md,Single-Stranded DNA.md
93,RNA.md,Single-Stranded RNA.md
94,muscles.md,skeletal muscles.md
95,ls.md,T cells.md
96,RNA.md,Transfer RNA.md
97,ls.md,Triploblastic animals.md
98,animals.md,Triploblastic animals.md
99,myelinated.md,unmyelinated.md
100,fluids.md,viscous fluids.md
101,ls.md,White Blood Cells.md
102,Cells.md,White Blood Cells.md
103,ions.md,Afferent projections.md
104,stability.md,brain metastability.md
105,data.md,Chordata.md
106,Manifolds.md,Neural Manifolds.md
107,science.md,Neuroscience.md
108,dynamics.md,population dynamics.md
109,ls.md,Potentials.md
110,information.md,sensory information.md
111,Receptors.md,Sensory Receptors.md
112,Afferent Nerve Fibers.md,Somatic Afferent Nerve Fibers.md
113,Nerve Fibers.md,Somatic Afferent Nerve Fibers.md
114,Cell.md,Target Effector Cell.md
115,science.md,physical science.md
116,Reactions.md,Acid-Base Reactions.md
117,ions.md,Acid-Base Reactions.md
118,solids.md,amorphous solids.md
119,ls.md,Atomic Quantum Numbers and Orbitals.md
120,ions.md,Chemical Interactions.md
121,Reactions.md,Endothermic And Exothermic Reactions.md
122,ions.md,Endothermic And Exothermic Reactions.md
123,ls.md,Formal Bonding Models.md
